,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
75,DSC00849_CLAHE_RGB.JPG,3,4,4675,2922,4675,3560,1753,2151,1753,2354,1797.6131396938554,1266.6593859439877
76,DSC00849_CLAHE_RGB.JPG,4,0,2922,958,3560,958,2151,1719,2354,1719,2010.9500242422735,2678.363119519084
77,DSC00849_CLAHE_RGB.JPG,4,1,2922,2678,3560,2678,2151,1276,2354,1276,908.3837294888102,1392.8416995480857
78,DSC00849_CLAHE_RGB.JPG,4,2,2922,696,3560,696,2151,1406,2354,1406,2347.3604324858165,3016.819517306264
79,DSC00849_CLAHE_RGB.JPG,4,3,2922,4675,3560,4675,2151,1753,2354,1753,1797.6131396938554,1266.6593859439877
80,DSC00850_CLAHE_RGB.JPG,0,1,958,2678,958,2678,1719,1276,1719,1276,1776.1331594224573,1776.1331594224573
81,DSC00850_CLAHE_RGB.JPG,0,2,958,695,958,696,1719,1406,1719,1406,408.8251459976502,408.1825571971443
82,DSC00850_CLAHE_RGB.JPG,0,3,958,4675,958,4675,1719,1753,1719,1753,3717.155498496128,3717.155498496128
83,DSC00850_CLAHE_RGB.JPG,0,4,958,3560,958,3560,1719,2354,1719,2354,2678.363119519084,2678.363119519084
84,DSC00850_CLAHE_RGB.JPG,1,0,2678,958,2678,958,1276,1719,1276,1719,1776.1331594224573,1776.1331594224573
85,DSC00850_CLAHE_RGB.JPG,1,2,2678,695,2678,696,1276,1406,1276,1406,1987.2566517689656,1986.2587948200505
86,DSC00850_CLAHE_RGB.JPG,1,3,2678,4675,2678,4675,1276,1753,1276,1753,2053.1775373795613,2053.1775373795613
87,DSC00850_CLAHE_RGB.JPG,1,4,2678,3560,2678,3560,1276,2354,1276,2354,1392.8416995480857,1392.8416995480857
88,DSC00850_CLAHE_RGB.JPG,2,0,695,958,696,958,1406,1719,1406,1719,408.8251459976502,408.1825571971443
89,DSC00850_CLAHE_RGB.JPG,2,1,695,2678,696,2678,1406,1276,1406,1276,1987.2566517689656,1986.2587948200505
90,DSC00850_CLAHE_RGB.JPG,2,3,695,4675,696,4675,1406,1753,1406,1753,3995.098121448333,3994.1019015543407
91,DSC00850_CLAHE_RGB.JPG,2,4,695,3560,696,3560,1406,2354,1406,2354,3017.76887783011,3016.819517306264
92,DSC00850_CLAHE_RGB.JPG,3,0,4675,958,4675,958,1753,1719,1753,1719,3717.155498496128,3717.155498496128
93,DSC00850_CLAHE_RGB.JPG,3,1,4675,2678,4675,2678,1753,1276,1753,1276,2053.1775373795613,2053.1775373795613
94,DSC00850_CLAHE_RGB.JPG,3,2,4675,695,4675,696,1753,1406,1753,1406,3995.098121448333,3994.1019015543407
95,DSC00850_CLAHE_RGB.JPG,3,4,4675,3560,4675,3560,1753,2354,1753,2354,1266.6593859439877,1266.6593859439877
96,DSC00850_CLAHE_RGB.JPG,4,0,3560,958,3560,958,2354,1719,2354,1719,2678.363119519084,2678.363119519084
97,DSC00850_CLAHE_RGB.JPG,4,1,3560,2678,3560,2678,2354,1276,2354,1276,1392.8416995480857,1392.8416995480857
98,DSC00850_CLAHE_RGB.JPG,4,2,3560,695,3560,696,2354,1406,2354,1406,3017.76887783011,3016.819517306264
99,DSC00850_CLAHE_RGB.JPG,4,3,3560,4675,3560,4675,2354,1753,2354,1753,1266.6593859439877,1266.6593859439877
100,DSC00851_CLAHE_RGB.JPG,0,1,958,2678,958,2678,1723,1278,1719,1276,1776.6330515894383,1776.1331594224573
101,DSC00851_CLAHE_RGB.JPG,0,2,958,695,958,696,1723,1410,1719,1406,408.8251459976502,408.1825571971443
102,DSC00851_CLAHE_RGB.JPG,0,3,958,4675,958,4675,1723,1754,1719,1753,3717.129268669574,3717.155498496128
103,DSC00851_CLAHE_RGB.JPG,0,4,958,3561,958,3560,1723,2356,1719,2354,2678.861325264897,2678.363119519084
104,DSC00851_CLAHE_RGB.JPG,1,0,2678,958,2678,958,1278,1723,1276,1719,1776.6330515894383,1776.1331594224573
105,DSC00851_CLAHE_RGB.JPG,1,2,2678,695,2678,696,1278,1410,1276,1406,1987.388487437723,1986.2587948200505
106,DSC00851_CLAHE_RGB.JPG,1,3,2678,4675,2678,4675,1278,1754,1276,1753,2052.945444964381,2053.1775373795613
107,DSC00851_CLAHE_RGB.JPG,1,4,2678,3561,2678,3560,1278,2356,1276,2354,1393.4751522721888,1392.8416995480857
108,DSC00851_CLAHE_RGB.JPG,2,0,695,958,696,958,1410,1723,1406,1719,408.8251459976502,408.1825571971443
109,DSC00851_CLAHE_RGB.JPG,2,1,695,2678,696,2678,1410,1278,1406,1276,1987.388487437723,1986.2587948200505
110,DSC00851_CLAHE_RGB.JPG,2,3,695,4675,696,4675,1410,1754,1406,1753,3994.8386700841875,3994.1019015543407
111,DSC00851_CLAHE_RGB.JPG,2,4,695,3561,696,3560,1410,2356,1406,2354,3018.090787236196,3016.819517306264
112,DSC00851_CLAHE_RGB.JPG,3,0,4675,958,4675,958,1754,1723,1753,1719,3717.129268669574,3717.155498496128
113,DSC00851_CLAHE_RGB.JPG,3,1,4675,2678,4675,2678,1754,1278,1753,1276,2052.945444964381,2053.1775373795613
114,DSC00851_CLAHE_RGB.JPG,3,2,4675,695,4675,696,1754,1410,1753,1406,3994.8386700841875,3994.1019015543407
115,DSC00851_CLAHE_RGB.JPG,3,4,4675,3561,4675,3560,1754,2356,1753,2354,1266.2543188475213,1266.6593859439877
116,DSC00851_CLAHE_RGB.JPG,4,0,3561,958,3560,958,2356,1723,2354,1719,2678.861325264897,2678.363119519084
117,DSC00851_CLAHE_RGB.JPG,4,1,3561,2678,3560,2678,2356,1278,2354,1276,1393.4751522721888,1392.8416995480857
118,DSC00851_CLAHE_RGB.JPG,4,2,3561,695,3560,696,2356,1410,2354,1406,3018.090787236196,3016.819517306264
119,DSC00851_CLAHE_RGB.JPG,4,3,3561,4675,3560,4675,2356,1754,2354,1753,1266.2543188475213,1266.6593859439877
120,DSC00852_CLAHE_RGB.JPG,0,1,958,2678,958,2678,1725,1279,1719,1276,1776.8837891094622,1776.1331594224573
121,DSC00852_CLAHE_RGB.JPG,0,2,958,695,958,696,1725,1412,1719,1406,408.8251459976502,408.1825571971443
122,DSC00852_CLAHE_RGB.JPG,0,3,958,4675,958,4675,1725,1754,1719,1753,3717.11312714585,3717.155498496128
123,DSC00852_CLAHE_RGB.JPG,0,4,958,3561,958,3560,1725,2356,1719,2354,2678.389441436775,2678.363119519084
124,DSC00852_CLAHE_RGB.JPG,1,0,2678,958,2678,958,1279,1725,1276,1719,1776.8837891094622,1776.1331594224573
125,DSC00852_CLAHE_RGB.JPG,1,2,2678,695,2678,696,1279,1412,1276,1406,1987.455156726813,1986.2587948200505
126,DSC00852_CLAHE_RGB.JPG,1,3,2678,4675,2678,4675,1279,1754,1276,1753,2052.71381346743,2053.1775373795613
127,DSC00852_CLAHE_RGB.JPG,1,4,2678,3561,2678,3560,1279,2356,1276,2354,1392.7016909589793,1392.8416995480857
128,DSC00852_CLAHE_RGB.JPG,2,0,695,958,696,958,1412,1725,1406,1719,408.8251459976502,408.1825571971443
129,DSC00852_CLAHE_RGB.JPG,2,1,695,2678,696,2678,1412,1279,1406,1276,1987.455156726813,1986.2587948200505
130,DSC00852_CLAHE_RGB.JPG,2,3,695,4675,696,4675,1412,1754,1406,1753,3994.6669448152998,3994.1019015543407
131,DSC00852_CLAHE_RGB.JPG,2,4,695,3561,696,3560,1412,2356,1406,2354,3017.4644985484088,3016.819517306264
132,DSC00852_CLAHE_RGB.JPG,3,0,4675,958,4675,958,1754,1725,1753,1719,3717.11312714585,3717.155498496128
133,DSC00852_CLAHE_RGB.JPG,3,1,4675,2678,4675,2678,1754,1279,1753,1276,2052.71381346743,2053.1775373795613
134,DSC00852_CLAHE_RGB.JPG,3,2,4675,695,4675,696,1754,1412,1753,1406,3994.6669448152998,3994.1019015543407
135,DSC00852_CLAHE_RGB.JPG,3,4,4675,3561,4675,3560,1754,2356,1753,2354,1266.2543188475213,1266.6593859439877
136,DSC00852_CLAHE_RGB.JPG,4,0,3561,958,3560,958,2356,1725,2354,1719,2678.389441436775,2678.363119519084
137,DSC00852_CLAHE_RGB.JPG,4,1,3561,2678,3560,2678,2356,1279,2354,1276,1392.7016909589793,1392.8416995480857
138,DSC00852_CLAHE_RGB.JPG,4,2,3561,695,3560,696,2356,1412,2354,1406,3017.4644985484088,3016.819517306264
