,IMG,Pti,Ptj,XPti,XPtj,XRefPti,XRefPtj,YPti,YPtj,YRefPti,YRefPtj,Distij,DistRefij
66,DSC00979_17h30.JPG,2,0,1528,4397,782.547826789353,2971.558315025947,2130,1149,1671.603988038549,1769.0990201622747,3032.0821228983887,2191.1805491329596
67,DSC00979_17h30.JPG,2,1,1528,4461,782.547826789353,2401.664769833058,2130,2443,1671.603988038549,1234.7074164060878,2949.6538779999255,1677.0266216000837
68,DSC00979_17h30.JPG,2,3,1528,657,782.547826789353,817.7687310236951,2130,2800,1671.603988038549,2788.0660578436336,1098.8817042794005,1117.0174866171694
69,DSC00979_17h30.JPG,3,0,657,4397,817.7687310236951,2971.558315025947,2800,1149,2788.0660578436336,1769.0990201622747,4088.2026613170733,2382.667286055214
70,DSC00979_17h30.JPG,3,1,657,4461,817.7687310236951,2401.664769833058,2800,2443,2788.0660578436336,1234.7074164060878,3820.7152471755862,2218.4791481293414
71,DSC00979_17h30.JPG,3,2,657,1528,817.7687310236951,782.547826789353,2800,2130,2788.0660578436336,1671.603988038549,1098.8817042794005,1117.0174866171694
72,DSC00983_9h30.JPG,0,1,2929,2357,2971.558315025947,2401.664769833058,1749,1221,1769.0990201622747,1234.7074164060878,778.4394645699819,781.2509449707111
73,DSC00983_9h30.JPG,0,2,2929,734,2971.558315025947,782.547826789353,1749,1674,1769.0990201622747,1671.603988038549,2196.280947419979,2191.1805491329596
74,DSC00983_9h30.JPG,0,3,2929,782,2971.558315025947,817.7687310236951,1749,2792,1769.0990201622747,2788.0660578436336,2386.934854578147,2382.667286055214
75,DSC00983_9h30.JPG,1,0,2357,2929,2401.664769833058,2971.558315025947,1221,1749,1234.7074164060878,1769.0990201622747,778.4394645699819,781.2509449707111
76,DSC00983_9h30.JPG,1,2,2357,734,2401.664769833058,782.547826789353,1221,1674,1234.7074164060878,1671.603988038549,1685.0335308236452,1677.0266216000837
77,DSC00983_9h30.JPG,1,3,2357,782,2401.664769833058,817.7687310236951,1221,2792,1234.7074164060878,2788.0660578436336,2224.559731722212,2218.4791481293414
78,DSC00983_9h30.JPG,2,0,734,2929,782.547826789353,2971.558315025947,1674,1749,1671.603988038549,1769.0990201622747,2196.280947419979,2191.1805491329596
79,DSC00983_9h30.JPG,2,1,734,2357,782.547826789353,2401.664769833058,1674,1221,1671.603988038549,1234.7074164060878,1685.0335308236452,1677.0266216000837
80,DSC00983_9h30.JPG,2,3,734,782,782.547826789353,817.7687310236951,1674,2792,1671.603988038549,2788.0660578436336,1119.0299370436878,1117.0174866171694
81,DSC00983_9h30.JPG,3,0,782,2929,817.7687310236951,2971.558315025947,2792,1749,2788.0660578436336,1769.0990201622747,2386.934854578147,2382.667286055214
82,DSC00983_9h30.JPG,3,1,782,2357,817.7687310236951,2401.664769833058,2792,1221,2788.0660578436336,1234.7074164060878,2224.559731722212,2218.4791481293414
83,DSC00983_9h30.JPG,3,2,782,734,817.7687310236951,782.547826789353,2792,1674,2788.0660578436336,1671.603988038549,1119.0299370436878,1117.0174866171694
